,PLAYER,TEAM,FGM,FGA,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
220,Khris Middleton,WAS,3.6,8.6,1.6,2.0,0.9,9.8,4.0,3.2,0.8,0.3,1.6
221,Zaccharie Risacher,ATL,4.3,9.4,0.9,1.5,1.6,11.2,3.3,1.4,0.9,0.5,0.9
222,Jordan Miller,LAC,3.0,5.7,1.9,2.3,0.8,8.7,3.1,1.5,0.8,0.2,1.0
223,Luka Garza,BOS,2.8,4.7,1.4,1.7,0.7,7.6,4.2,1.0,0.4,0.5,0.5
224,Lonzo Ball,CLE,1.6,5.3,0.5,0.6,1.2,5.0,4.0,4.1,1.3,0.3,1.5
225,Kyle Filipowski,UTA,3.5,7.5,1.5,2.1,0.8,9.3,6.1,2.0,0.7,0.4,1.2
226,Yves Missi,NO,2.5,4.6,0.8,1.3,0.0,5.7,5.8,1.2,0.4,1.3,0.8
227,Zach Collins,CHI,3.7,6.4,1.4,2.0,0.9,9.7,5.6,1.5,0.2,0.4,1.0
228,Josh Minott,BOS,2.3,4.6,0.7,0.9,1.1,6.3,4.0,1.1,0.8,0.4,0.6
229,Vince Williams Jr.,MEM,2.6,7.5,1.0,1.2,1.3,7.5,4.0,4.6,0.7,0.4,1.9
230,Maxime Raynaud,SAC,4.1,7.6,1.2,1.6,0.2,9.5,6.4,1.1,0.4,0.5,1.0
231,Kentavious Caldwell-Pope,MEM,2.8,7.0,1.4,1.5,1.2,8.2,2.5,2.9,0.8,0.2,1.2
232,Isaiah Joe,OKC,2.9,6.7,1.5,1.7,2.2,9.5,2.5,1.3,0.5,0.2,0.6
233,Ryan Dunn,PHO,2.6,5.7,0.5,0.7,0.8,6.4,4.5,1.7,0.9,0.5,1.0
234,Ace Bailey,UTA,4.4,9.8,0.7,0.9,1.4,10.9,3.5,1.6,0.7,0.4,1.3
235,Craig Porter Jr.,CLE,2.0,4.2,0.4,0.6,0.6,4.8,3.5,3.0,0.9,0.6,0.9
236,Quinten Post,GS,3.0,6.8,0.4,0.6,1.5,7.9,3.9,1.4,0.5,0.5,0.8
237,Jonas Valanciunas,DEN,3.6,6.1,1.5,1.9,0.1,8.7,4.8,1.3,0.2,0.6,1.1
238,Isaiah Collier,UTA,3.4,6.6,1.8,2.8,0.5,9.1,2.4,6.6,0.7,0.3,2.3
239,Bruce Brown,DEN,2.8,6.2,1.1,1.4,0.5,7.2,4.1,2.2,1.0,0.3,1.0
240,Svi Mykhailiuk,UTA,3.3,6.9,0.5,0.6,1.7,8.9,2.6,1.9,0.5,0.1,0.8
241,Jamal Shead,TOR,2.4,6.6,1.2,1.5,1.2,7.2,1.9,5.6,1.0,0.1,1.3
242,Micah Potter,IND,2.0,4.5,1.9,2.0,1.1,7.0,3.9,1.4,0.3,0.3,0.7
243,Will Richard,GS,2.5,5.2,0.8,1.0,1.1,7.0,2.5,1.3,1.1,0.1,0.8
244,Dylan Harper,SA,4.1,9.3,1.5,2.0,0.6,10.2,3.3,3.5,0.9,0.3,1.4
245,Kris Murray,POR,2.3,5.1,0.9,1.2,0.6,6.1,4.0,1.2,1.2,0.4,0.9
246,Tristan da Silva,ORL,3.4,7.9,0.8,1.0,1.5,9.2,3.5,1.1,0.8,0.2,0.9
247,Kyle Anderson,UTA,2.9,5.6,1.2,1.9,0.1,7.2,3.4,2.7,1.2,0.5,0.9
248,Daniss Jenkins,DET,2.8,6.4,1.2,1.5,1.1,7.9,1.7,3.4,1.0,0.2,1.4
249,Isaiah Jackson,IND,2.7,4.6,1.4,2.0,0.0,6.7,5.6,0.8,0.6,0.7,1.2
250,Buddy Hield,GS,2.9,6.5,0.7,0.7,1.5,7.9,2.4,1.4,0.8,0.2,0.9
251,Paul Reed,DET,2.4,4.1,0.6,1.0,0.2,5.7,4.3,1.2,0.9,0.6,1.0
252,Tolu Smith,DET,1.4,3.0,2.4,3.0,0.0,5.2,5.6,0.8,0.4,1.0,0.8
253,Dean Wade,CLE,1.9,4.8,0.6,0.8,1.2,5.7,4.1,1.6,0.8,0.4,0.3
254,Isaac Okoro,CHI,3.2,6.7,1.1,1.5,1.1,8.6,2.8,1.4,0.6,0.5,0.6
255,Walter Clayton Jr.,UTA,2.3,5.8,1.4,1.5,1.0,7.1,2.0,3.3,0.6,0.2,1.2
256,Jaylen Wells,MEM,4.1,10.0,2.0,2.6,1.7,11.9,3.5,1.7,0.9,0.1,1.2
257,Jarred Vanderbilt,LAL,1.9,3.9,0.6,0.9,0.5,5.0,5.1,1.3,0.9,0.4,1.1
258,Jonathan Kuminga,GS,4.4,9.7,2.5,3.3,0.9,12.1,5.9,2.5,0.4,0.3,2.3
259,Kevin Love,UTA,2.3,5.7,1.1,1.3,1.4,7.1,5.6,1.8,0.3,0.3,0.8
260,Christian Braun,DEN,3.6,7.9,1.7,2.3,0.5,9.5,4.2,2.5,0.6,0.4,1.2
261,Steven Adams,HOU,2.2,4.3,1.5,2.5,0.0,5.8,8.6,1.5,0.7,0.7,1.1
262,Caris LeVert,DET,2.8,6.6,1.2,1.7,1.1,7.9,1.8,2.8,0.9,0.6,1.4
263,Klay Thompson,DAL,4.1,10.6,0.5,0.8,2.9,11.7,2.5,1.4,0.5,0.3,0.9
264,Pelle Larsson,MIA,3.5,7.3,1.8,2.4,0.9,9.7,2.9,3.3,0.5,0.2,1.0
265,Landry Shamet,NY,2.9,6.2,1.6,2.1,2.0,9.3,1.9,1.2,0.5,0.3,0.5
266,Sion James,CHA,1.9,4.9,1.4,1.6,1.0,6.2,3.5,2.0,0.6,0.4,0.8
267,Jamaree Bouyea,PHO,3.1,5.6,0.6,0.9,0.8,7.5,2.1,1.7,0.6,0.4,0.5
268,Spencer Jones,DEN,2.2,4.4,0.6,1.0,1.0,6.1,3.1,0.9,0.9,0.4,0.6
269,Danny Wolf,BKN,2.7,7.0,1.2,1.4,1.1,7.8,4.3,1.8,0.6,0.4,1.0
270,Brook Lopez,LAC,2.1,5.9,0.6,0.7,1.4,6.3,2.6,0.9,0.5,1.0,0.8
271,Taurean Prince,MIL,2.1,4.8,0.4,0.4,1.5,6.1,1.6,1.0,0.8,0.3,0.6
272,Jaylin Williams,OKC,1.8,4.8,0.9,1.3,1.1,5.6,4.6,2.4,0.6,0.5,0.9
273,Jarace Walker,IND,3.2,8.4,1.6,2.1,1.6,9.6,4.2,1.9,0.7,0.3,1.5
