,PLAYER,TEAM,FGM,FGA,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
158,Jerami Grant,POR,4.9,10.8,3.2,3.9,1.8,14.7,3.4,2.1,0.7,0.7,1.5
159,Miles McBride,NY,4.5,10.5,0.9,1.1,2.7,12.7,2.6,3.0,1.0,0.2,0.7
160,Kris Dunn,LAC,2.9,6.3,1.0,1.4,1.0,7.7,3.7,3.4,1.7,0.5,1.4
161,Noah Clowney,BKN,4.2,11.7,3.3,4.0,2.0,13.8,4.5,1.9,0.7,0.9,1.4
162,Mitchell Robinson,NY,2.3,3.8,0.8,1.3,0.0,5.5,7.6,0.7,1.1,1.1,0.7
163,Christian Braun,DEN,4.8,9.7,2.1,2.5,1.0,12.7,3.8,2.2,1.0,0.5,1.0
164,Scoot Henderson,POR,5.0,11.7,2.8,3.5,1.7,14.4,3.3,5.7,1.1,0.2,3.3
165,Brandon Williams,DAL,4.6,10.4,3.9,4.8,0.8,13.9,2.7,3.8,1.3,0.2,1.8
166,Luke Kornet,SA,3.4,5.6,1.0,1.3,0.0,7.7,5.1,1.6,0.3,1.5,0.7
167,Russell Westbrook,SAC,5.6,13.0,1.8,2.8,1.8,14.8,6.1,5.1,1.3,0.2,3.3
168,Kentavious Caldwell-Pope,MEM,3.1,7.0,1.1,1.3,1.8,9.2,2.2,2.0,1.2,0.5,0.9
169,De'Andre Hunter,CLE,4.6,10.4,2.7,3.1,2.1,14.1,3.4,1.3,0.9,0.2,1.2
170,Cedric Coward,MEM,4.7,10.6,2.0,2.4,1.5,13.0,5.2,3.0,0.8,0.3,1.8
171,Toumani Camara,POR,4.5,10.0,1.4,1.9,1.9,12.2,4.8,2.5,1.0,0.4,1.6
